,Country,Continent,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,Abkhazia,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Afghanistan,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06
2,Akrotiri and Dhekelia,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Algeria,AFRICA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,,,
5,American Samoa,OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Angola,AFRICA,0.026527865,,,,,,,,,,,0.5,0.8,1.0,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.1,2.1,2.1
8,Anguilla,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antigua and Barbuda,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Argentina,SOUTH AMERICA,0.02050798,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4
11,Armenia,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
12,Aruba,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Australia,OCEANIA,,,,,0.012682938,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
14,Austria,EUROPE,,,0.010187591,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4
15,Azerbaijan,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1
16,Bahamas,NORTH AMERICA,0.01,,,,,,,,,,,3.6,3.8,3.9,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3.2,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,2.9,2.8,2.8
17,Bahrain,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bangladesh,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
19,Barbados,NORTH AMERICA,0.02767648,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.3,0.9,0.9,0.9
20,Belarus,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4
21,Belgium,EUROPE,,,,0.014146531,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
22,Belize,NORTH AMERICA,,,,,,,,,,,,0.5,0.7,1.0,1.2,1.4,1.5,1.6,1.8,1.9,2.0,2.2,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3
23,Benin,AFRICA,,,,,,0.011875633,,,,,,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2
24,Bermuda,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bhutan,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
26,Bolivia,SOUTH AMERICA,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
27,Bosnia and Herzegovina,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Botswana,AFRICA,0.105976053,,,,,,,,,,,3.5,5.1,7.3,10.1,13.3,16.6,19.7,22.2,24.1,25.3,26.0,26.3,26.3,26.1,25.8,25.5,25.3,25.1,24.9,24.1,23.7,23.4
29,Brazil,SOUTH AMERICA,0.09447913,,,,,,,,,,,0.45,0.45,0.45,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.3,0.3,0.3
30,British Virgin Islands,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Brunei,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bulgaria,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33,Burkina Faso,AFRICA,0.01,,,,,,,,,,,3.9,4.0,3.9,3.8,3.6,3.4,3.2,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.2,1.1
34,Burundi,AFRICA,0.015913875,,,,,,,,,,,3.9,4.5,5.1,5.5,5.8,5.9,5.9,5.8,5.7,5.4,5.2,5.0,4.7,4.5,4.2,4.0,3.8,3.6,3.5,1.6,1.4,1.3
35,Cambodia,ASIA,,,,,,,0.01,,,,,0.5,0.8,1.0,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.1,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6
36,Cameroon,AFRICA,,0.012524627,,,,,,,,,,0.6,1.0,1.6,2.5,3.4,4.2,4.8,5.1,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,4.8,4.7,4.6
37,Canada,NORTH AMERICA,0.012998487,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
38,Cape Verde,AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
39,Cayman Islands,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Central African Republic,AFRICA,0.113034777,,,,,,,,,,,3.1,4.6,6.3,7.9,9.0,9.7,10.1,10.1,10.0,9.8,9.4,8.9,8.4,7.8,7.2,6.6,6.1,5.5,5.1,5.1,4.9,4.6
41,Chad,AFRICA,0.039876698,,,,,,,,,,,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.0,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.4,3.2,3.2,3.1
42,Channel Islands,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chile,SOUTH AMERICA,,,,,,,0.009688619,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
44,China,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
45,Christmas Island,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cocos Island,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Colombia,SOUTH AMERICA,,,,,,0.012153094,,,,,,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5
48,Comoros,AFRICA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1
49,"Congo, Dem. Rep.",OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Congo, Rep.",OTHER,0.01,,,,,,,,,,,5.2,5.2,5.0,4.8,4.6,4.4,4.3,4.1,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.3,3.3,3.3
51,Cook Is,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Costa Rica,NORTH AMERICA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
53,Cote d'Ivoire,OTHER,0.123178372,,,,,,,,,,,2.4,3.3,4.4,5.5,6.4,7.1,7.4,7.5,7.4,7.2,6.9,6.5,6.1,5.7,5.3,4.8,4.4,4.1,3.7,3.4,3.2,3.0
54,Croatia,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
55,Cuba,NORTH AMERICA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
56,Cyprus,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Czech Republic,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
58,Czechoslovakia,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Denmark,EUROPE,,,,0.011698226,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
60,Djibouti,AFRICA,,,,,0.012392677,,,,,,,0.9,1.1,1.4,1.7,2.0,2.3,2.5,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,1.6,1.5,1.4
61,Dominica,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dominican Republic,NORTH AMERICA,0.056691281,,,,,,,,,,,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.7,0.7
63,East Germany,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ecuador,SOUTH AMERICA,0.013690696,,,,,,,,,,,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
65,Egypt,AFRICA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
66,El Salvador,NORTH AMERICA,,,,,,,0.012269586,,,,,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.6
67,Equatorial Guinea,AFRICA,0.082364934,,,,,,,,,,,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.5,1.9,2.3,2.7,3.2,3.6,4.0,4.4,4.7,4.2,4.4,4.7
68,Eritrea,AFRICA,,,,,,,0.010873503,,,,,0.3,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.6
69,Eritrea and Ethiopia,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Estonia,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3
71,Ethiopia,AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.4
72,Faeroe Islands,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Falkland Is (Malvinas),OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fiji,OCEANIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.1
75,Finland,EUROPE,,,,,0.010557622,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
76,France,EUROPE,,,0.015708255,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
77,French Guiana,SOUTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,French Polynesia,OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Gabon,AFRICA,0.042124436,,,,,,,,,,,0.9,1.2,1.6,2.0,2.6,3.1,3.7,4.2,4.6,4.9,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0
80,Gambia,AFRICA,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1.0,1.1,1.3,1.5,1.7,1.4,1.4,1.5
81,Georgia,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
82,Germany,EUROPE,,,,0.022875823,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
83,Ghana,AFRICA,,,,,,,,,,,,0.3,0.4,0.7,0.9,1.3,1.7,2.0,2.2,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.0,1.9,1.9,1.8,1.6,1.5,1.5
84,Gibraltar,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Greece,EUROPE,0.018909064,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
86,Greenland,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Grenada,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Guadeloupe,NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Guam,OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Guatemala,NORTH AMERICA,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.8
91,Guernsey,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Guinea,AFRICA,0.015019429,,,,,,,,,,,1.1,1.3,1.5,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4
93,Guinea-Bissau,AFRICA,,,0.009823591,,,,,,,,,0.3,0.3,0.4,0.6,0.7,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.3,2.4,2.5
94,Guyana,SOUTH AMERICA,0.030135016,,,,,,,,,,,2.8,2.7,2.6,2.5,2.3,2.2,2.1,1.9,1.8,1.6,1.5,1.4,1.3,1.3,1.2,1.1,1.1,1.0,1.2,1.2,1.1,1.1
95,Haiti,NORTH AMERICA,0.155026457,,,,,,,,,,,1.3,1.6,2.3,3.3,3.6,3.6,3.4,3.3,3.1,2.9,2.8,2.6,2.5,2.3,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.8
96,Holy See,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Honduras,NORTH AMERICA,0.01,,,,,,,,,,,1.1,1.2,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.0,0.9,0.9,0.8,0.8,,,
98,"Hong Kong, China",OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Hungary,EUROPE,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1
100,Iceland,EUROPE,0.012373161,,,,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
101,India,ASIA,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.37,0.37,0.34,0.32,0.31,,
102,Indonesia,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3
103,Iran,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
104,Iraq,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Ireland,EUROPE,,,,0.015104416,,,,,,,,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
106,Isle of Man,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Israel,ASIA,0.012167647,,,,,,,,,,,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
108,Italy,EUROPE,0.01,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
109,Jamaica,NORTH AMERICA,0.014488867,,,,,,,,,,,2.1,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8
110,Japan,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
111,Jersey,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Jordan,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Kazakhstan,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
114,Kenya,AFRICA,0.07,,,,,,,,,,,3.9,5.4,7.0,8.4,9.6,10.3,10.5,10.5,10.1,9.6,9.0,8.4,7.9,7.5,7.1,6.8,6.6,6.4,6.3,6.2,6.2,6.2
115,Kiribati,OCEANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,North Korea,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,South Korea,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
118,"United Korea (former)
",OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Kosovo,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kuwait,ASIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Kyrgyz Republic,ASIA,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4
122,Lao,OTHER,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3
123,Latvia,EUROPE,,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7
124,Lebanon,ASIA,0.012167647,,,,,,,,,,,0.06,0.06,0.06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
125,Lesotho,AFRICA,,,,,,0.011079346,,,,,,0.8,1.7,3.3,5.9,9.8,14.3,18.5,21.6,23.4,24.2,24.5,24.5,24.3,24.1,23.8,23.6,23.5,23.5,23.6,23.0,23.2,23.3
126,Liberia,AFRICA,0.01185026,,,,,,,,,,,0.3,0.5,1.0,1.7,2.5,3.1,3.4,3.6,3.5,3.4,3.3,3.1,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.3,1.1,1.0
127,Libya,AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Liechtenstein,EUROPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
